what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1738837645145
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1738837647825
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738837649628
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738837657710
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738837658542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738837675369
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738837686496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738837689440
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1738837690202
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1738837693975
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1738837696514
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1738837702099
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1738837706699
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1738837741568
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1738837754759
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1738837770268
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1738837778045
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1738837785807
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1738837872065
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738837875040
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738837879289
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738837903692
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738837906579
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1738837907259
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1738837908746
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1738837911067
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1738837913539
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1738837918753
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1738837924578
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1738837960737
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1738837962364
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738837963885
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738837968200
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1738837969666
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1738837970999
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1738837972185
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1738837978649
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1738837979873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738837982658
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738837986830
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1738837991356
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1738838010370
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1738838031496
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738838032932
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738838037227
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738838052464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738838055355
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1738838056081
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1738838058090
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1738838059867
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1738838062367
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1738838067620
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1738838084393
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1738838112037
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1738838113550
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738838115316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738838119628
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1738838131473
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1738838146231
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1738838153709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738838155295
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738838157800
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738838171044
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738838173926
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1738838174605
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738838175101
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738838177740
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1738838183189
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1738838185694
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1738838191916
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1738838194549
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1738838202809
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1738838203876
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1738838225657
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1738838263574
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1738838264737
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738838266375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738838270719
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1738838272355
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1738838275784
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1738838277128
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1738838278376
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1738838280572
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1738838283468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738838285976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738838290507
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1738838291184
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1738838294936
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1738838297441
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1738838302530
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1738838317616
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1738838389525
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1738838391483
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738838393080
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738838397082
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738838401684
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738838404281
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1738838404910
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1738838408291
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1738838410444
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1738838416290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738838439640
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738838456583
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1738838457157
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1738838458746
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1738838460510
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1738838497384
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1738838498978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738838500837
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738838504552
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738838508010
