what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738236165378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738236174966
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738236189368
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738236237240
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1738236237256
error,log,,,"Unable to validate connection settings.",1738236256486
error,log,,,"Unable to validate connection settings.",1738236256486
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738236256502
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738236258021
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738236261713
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738236263646
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738236269892
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738236277876
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738236291525
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738236343966
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1738236345623
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1738236345639
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1738236345708
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1738236345971
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1738236352071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738236353030
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738236360487
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1738236367568
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738236370333
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738236371483
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.v20110928-1505,"org.eclipse.ui.views.properties.tabbed",1738236371568
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1738236371596
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1738236371606
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1738236372502
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1738236380468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738236383076
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738236392005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738236395610
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738236404950
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738236419683
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738236419715
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738236422907
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738236469590
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1738236469596
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1738236483656
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1738236483973
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1738236483988
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1738236485448
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1738236487010
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1738236493364
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1738236494034
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1738236494608
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1738236495210
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1738236496745
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1738236499303
