what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1738833594527
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1738833638356
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1738833671235
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1738833675123
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1738833676617
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738833678066
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738833682288
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738833687581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738833690404
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1738833691086
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1738833691097
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1738833694789
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1738833697350
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1738833703666
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1738833738559
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1738833756846
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1738833759222
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738833761376
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738833765940
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738833778198
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1738833781287
